tensor(4.6169, device='cuda:0', grad_fn=<DivBackward0>)
tensor(4.9437, device='cuda:0', grad_fn=<DivBackward0>)
tensor(4.0939, device='cuda:0', grad_fn=<DivBackward0>)
tensor(4.8593, device='cuda:0', grad_fn=<DivBackward0>)
tensor(5.1762, device='cuda:0', grad_fn=<DivBackward0>)
tensor(4.5642, device='cuda:0', grad_fn=<DivBackward0>)
tensor(5.1267, device='cuda:0', grad_fn=<DivBackward0>)
tensor(4.6338, device='cuda:0', grad_fn=<DivBackward0>)
tensor(5.7493, device='cuda:0', grad_fn=<DivBackward0>)
tensor(4.8736, device='cuda:0', grad_fn=<DivBackward0>)
tensor(5.1286, device='cuda:0', grad_fn=<DivBackward0>)
tensor(4.2462, device='cuda:0', grad_fn=<DivBackward0>)
tensor(5.8381, device='cuda:0', grad_fn=<DivBackward0>)
tensor(4.7975, device='cuda:0', grad_fn=<DivBackward0>)
tensor(4.8003, device='cuda:0', grad_fn=<DivBackward0>)
tensor(4.7849, device='cuda:0', grad_fn=<DivBackward0>)
tensor(5.1703, device='cuda:0', grad_fn=<DivBackward0>)
tensor(4.5927, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.9910, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.6892, device='cuda:0', grad_fn=<DivBackward0>)
tensor(4.3018, device='cuda:0', grad_fn=<DivBackward0>)
tensor(4.0196, device='cuda:0', grad_fn=<DivBackward0>)
tensor(4.1932, device='cuda:0', grad_fn=<DivBackward0>)
tensor(4.2453, device='cuda:0', grad_fn=<DivBackward0>)
tensor(4.2167, device='cuda:0', grad_fn=<DivBackward0>)
tensor(4.1993, device='cuda:0', grad_fn=<DivBackward0>)
tensor(4.3205, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.6019, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.9583, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.6489, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.7270, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.6091, device='cuda:0', grad_fn=<DivBackward0>)
tensor(4.1885, device='cuda:0', grad_fn=<DivBackward0>)
tensor(4.8095, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.8641, device='cuda:0', grad_fn=<DivBackward0>)
tensor(4.2898, device='cuda:0', grad_fn=<DivBackward0>)
tensor(4.0858, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.1497, device='cuda:0', grad_fn=<DivBackward0>)
tensor(4.3178, device='cuda:0', grad_fn=<DivBackward0>)
tensor(4.3345, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.9527, device='cuda:0', grad_fn=<DivBackward0>)
tensor(4.5144, device='cuda:0', grad_fn=<DivBackward0>)
tensor(4.0774, device='cuda:0', grad_fn=<DivBackward0>)
tensor(4.0173, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.3362, device='cuda:0', grad_fn=<DivBackward0>)
tensor(4.4109, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.4280, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.8882, device='cuda:0', grad_fn=<DivBackward0>)
tensor(2.9186, device='cuda:0', grad_fn=<DivBackward0>)
tensor(4.3594, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.6018, device='cuda:0', grad_fn=<DivBackward0>)
tensor(4.3004, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.5858, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.7341, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.4951, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.7268, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.7728, device='cuda:0', grad_fn=<DivBackward0>)
tensor(4.8418, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.5385, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.5455, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.5235, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.4430, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.6215, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.7112, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.0990, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.8500, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.5129, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.5609, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.0391, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.6470, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.0762, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.7043, device='cuda:0', grad_fn=<DivBackward0>)
tensor(4.0768, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.1390, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.7320, device='cuda:0', grad_fn=<DivBackward0>)
tensor(4.3169, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.8574, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.8936, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.0084, device='cuda:0', grad_fn=<DivBackward0>)
tensor(4.0135, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.4551, device='cuda:0', grad_fn=<DivBackward0>)
tensor(4.1378, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.2411, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.9963, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.1056, device='cuda:0', grad_fn=<DivBackward0>)
tensor(4.5965, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.1802, device='cuda:0', grad_fn=<DivBackward0>)
tensor(4.4683, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.0148, device='cuda:0', grad_fn=<DivBackward0>)
tensor(4.4459, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.6558, device='cuda:0', grad_fn=<DivBackward0>)
tensor(4.8027, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.5314, device='cuda:0', grad_fn=<DivBackward0>)
tensor(4.1789, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.0741, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.9676, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.1256, device='cuda:0', grad_fn=<DivBackward0>)
tensor(4.0146, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.1698, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.7975, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.2540, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.6880, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.7619, device='cuda:0', grad_fn=<DivBackward0>)
tensor(4.5516, device='cuda:0', grad_fn=<DivBackward0>)
tensor(4.0649, device='cuda:0', grad_fn=<DivBackward0>)
tensor(4.2869, device='cuda:0', grad_fn=<DivBackward0>)
tensor(2.8332, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.8815, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.4319, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.5821, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.1195, device='cuda:0', grad_fn=<DivBackward0>)
tensor(4.0411, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.3337, device='cuda:0', grad_fn=<DivBackward0>)
tensor(4.0303, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.2002, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.9881, device='cuda:0', grad_fn=<DivBackward0>)
tensor(2.9258, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.8902, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.4892, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.8773, device='cuda:0', grad_fn=<DivBackward0>)
tensor(2.5542, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.4024, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.3826, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.9978, device='cuda:0', grad_fn=<DivBackward0>)
tensor(2.9975, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.5176, device='cuda:0', grad_fn=<DivBackward0>)
tensor(2.8394, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.3827, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.1579, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.6500, device='cuda:0', grad_fn=<DivBackward0>)
tensor(2.9820, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.7065, device='cuda:0', grad_fn=<DivBackward0>)
tensor(2.8359, device='cuda:0', grad_fn=<DivBackward0>)
tensor(4.4863, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.5587, device='cuda:0', grad_fn=<DivBackward0>)
tensor(4.2789, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.0167, device='cuda:0', grad_fn=<DivBackward0>)
tensor(4.4327, device='cuda:0', grad_fn=<DivBackward0>)
tensor(2.8145, device='cuda:0', grad_fn=<DivBackward0>)
tensor(4.0393, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.4579, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.7064, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.1500, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.5262, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.3253, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.8586, device='cuda:0', grad_fn=<DivBackward0>)
tensor(2.7981, device='cuda:0', grad_fn=<DivBackward0>)
tensor(4.4166, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.2820, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.2724, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.3008, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.7506, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.5798, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.5972, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.4618, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.1485, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.5952, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.3494, device='cuda:0', grad_fn=<DivBackward0>)
tensor(2.6469, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.9610, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.2083, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.9681, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.0781, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.4804, device='cuda:0', grad_fn=<DivBackward0>)
tensor(2.9667, device='cuda:0', grad_fn=<DivBackward0>)
tensor(4.5376, device='cuda:0', grad_fn=<DivBackward0>)
tensor(2.9904, device='cuda:0', grad_fn=<DivBackward0>)
tensor(4.0772, device='cuda:0', grad_fn=<DivBackward0>)
tensor(2.9135, device='cuda:0', grad_fn=<DivBackward0>)
tensor(4.9193, device='cuda:0', grad_fn=<DivBackward0>)
tensor(2.5195, device='cuda:0', grad_fn=<DivBackward0>)
tensor(4.6770, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.1280, device='cuda:0', grad_fn=<DivBackward0>)
